Id,Job,Education,Age,Experience,Skills,Softkills,Ideal_Salary,City,Nationality,SmartWork,Experience_abroad,Language
153,Asset manager,Master D.,70,13,"Management of the portfolio, Investments, Financial planning, Financial analysis, Economics","Strategic Thinking, Customer orientation, Negotiation",45008,Monte San Giacomo,Italiano,False,False,"Italiano, Inglese"
154,Architect,Master D.,25,8,"Revit, BIM, Asana, Architectural design","Effective communication, Spatial thought, Collaboration, Attention to detail",42484,Vallio Terme,Italiano,True,False,"Italiano, Canadese"
155,Risk expert,Master D.,33,7,"Management of losses, Analysis of financial security policies, Financial risk","Decision making, Management of stress, Analytical thinking",35496,Santa Marina Salina,Pakistano,False,True,"Pakistano, Italiano"
156,Developer,Degree,43,15,"Algorithm, PHP","Professional Ethic, Problem solving, Flexibility, Innovation, Retail aptitude",42988,Predosa,Danese,True,True,"Danese, Italiano, Italiano"
157,Nurse specialist,Bachelor D.,55,18,"Monitoring of patients, Oncology, Administration of drugs, Intensive Care Unit","Organisation, Management of emergencies, Empathy",42506,Crotone,Finlandese,False,True,"Finlandese, Tedesco"
158,Market analyst,Bachelor D.,25,11,"Analysis of trends, Analysis of competitors, Market research, Analysis of data, Strategies of the market","Effective presentation, Customer orientation",38988,Marano Principato,Israeliano,True,True,"Israeliano, Argentino"
159,System administrator,Master D.,44,6,"SMTP, Cloud management, Linux, Windows Server","Management of emergencies, Patience",37503,Barzana,Colombiano,False,True,"Colombiano, Statunitense"
160,Teacher,Researcher,51,14,"Computer science, Music, Sciences","Communication, Empathy",18995,Castelnuovo Don Bosco,Inglese,False,False,Inglese
161,X-ray technician,Degree,54,8,"Radiological safety, Use of imaging equipment, X-ray and scan reading","Attention to detail, Ethics, Communication, Confidentiality, Empathy",23511,Borgomezzavalle,Italiano,False,False,Italiano
162,Web Developer,PhD,33,8,"Ruby, SQL, Internet protocols, SQL, PHP","Flexibility, Problem solving, Innovation, Teamwork, Effective communication",44985,San Marcellino,Inglese,True,True,"Inglese, Danese"
163,Data analyst,Degree,52,16,"Database, Data Mining, Statistics, SQL, Microsoft Excel","Problem solving, Critical analysis, Clear communication",34999,Colmurano,Pakistano,True,False,"Pakistano, Cinese, Francese"
164,Financial consultant,Master D.,28,11,"Actions, Economics, Financial markets","Persuasive communication, Precision, Attention to detail, Customer orientation",40004,Montesano Salentino,Danese,False,True,Danese
165,Developer,PhD,70,11,"SQL, Git","Professional Ethic, Problem solving, Retail aptitude, Creativity",43004,Casalattico,Italiano,True,False,"Italiano, Brasiliano, Cubano"
166,Financial consultant,PhD,27,17,"Insurance, Personal financial planning, Investments","Persuasive communication, Precision, Empathy",39997,Azzano Mella,Venezuelano,False,False,Venezuelano
167,Risk expert,Degree,20,14,"Data analysis, Financial risk","Decision making, Management of stress",35511,Barrafranca,Israeliano,False,True,"Israeliano, Venezuelano, Pakistano"
168,X-ray technician,Degree,23,15,"X-ray and scan reading, Preparation of patients, Use of imaging equipment","Speed of learning, Organizational skills, Confidentiality, Attention to detail, Communication",23502,Cervia,Italiano,False,False,"Italiano, Canadese"
169,System administrator,Degree,69,8,"Cloud management, Windows Server, SMTP","Patience, Management of emergencies, Troubleshooting",37509,Valfenera,Italiano,False,True,"Italiano, Inglese"
170,Financial analyst,Bachelor D.,50,2,"Investment, Financial analysis, Assessment of investments, Economics, Financial markets","Critical analysis, Management of stress, Effective communication, Problem solving",33498,Celico,Cinese,True,False,"Cinese, Tunisino"
171,Financial consultant,Degree,43,3,"Investments, Insurance, Economics, Financial markets, Personal financial planning","Precision, Empathy, Customer orientation",39985,Castelmezzano,Tedesco,False,True,"Tedesco, Italiano"
172,Risk expert,Bachelor D.,23,14,"Environmental risk, Management of the crisis, Analysis of financial security policies","Management of stress, Decision making, Analytical thinking",35501,Miglierina,Irlandese,False,False,"Irlandese, Finlandese"
173,Developer,Bachelor D.,22,2,"Java, SQL, C, Algorithm","Professional Ethic, Retail aptitude, Collaboration, Problem solving, Creativity",43009,Bajardo,Israeliano,True,True,"Israeliano, Italiano"
174,Computer security analyst,Bachelor D.,48,14,"Security of the networks, GnuPG, SELinux, Cryptography, Analysis of vulnerabilities","Collaboration, Critical thinking, Troubleshooting, Adaptability",79995,Corinaldo,Italiano,True,False,"Italiano, Russo, Tunisino"
175,Teacher,Master D.,56,6,"Physics, Mathematics, Music, Italian, Physical education","Patience, Empathy, Communication",19008,Santa Maria a Monte,Italiano,False,True,Italiano
176,Legal consultant,Bachelor D.,27,5,"Right to Work, Intellectual property, Contracts, Tax legislation","Capacity for research, Negotiation, Customer orientation, Integrity",32512,Castelleone,Italiano,False,False,Italiano
177,X-ray technician,PhD,26,6,"Use of imaging equipment, Preparation of patients, Radiological safety, X-ray and scan reading","Attention to detail, Speed of learning, Confidentiality",23499,Capraia e Limite,Italiano,False,False,"Italiano, Irlandese, Brasiliano"
178,Designer,Degree,40,1,"Blender, Sketch, Adobe Photoshop, CorelDRAW","Innovation, Critical thinking",36010,Zugliano,Italiano,True,True,"Italiano, Canadese"
179,Financial consultant,Degree,49,4,"Commercial Law, Actions, Investments, Personal financial planning, Financial markets","Attention to detail, Persuasive communication, Precision, Customer orientation, Empathy",40004,Nosate,Italiano,False,True,"Italiano, Messicano, Inglese"
180,Architectural engineer,Degree,50,11,"Design, MATLAB, ANSYS, Simulink, AutoCAD","Troubleshooting, Creativity, Attention to detail, Communication, Leadership",40003,Ussana,Turco,True,True,Turco
181,Operation manager,Bachelor D.,21,16,"Six Sigma, Microsoft Excel","Troubleshooting, Strategic planning",110006,San Paolo Solbrito,Italiano,True,False,"Italiano, Finlandese"
182,Asset manager,Degree,25,23,"Investments, Investments","Attention to detail, Customer orientation",44984,Santa Lucia di Serino,Italiano,False,True,Italiano
183,Data Scientist,Degree,23,3,"Machine Learning, SQL, Python, R","Innovation, Teamwork, Solving the problems",32999,Colli a Volturno,Argentino,True,True,Argentino
184,Financial consultant,Degree,59,15,"Economics, Investments","Persuasive communication, Customer orientation, Precision",40010,Novedrate,Italiano,False,True,Italiano
185,Manager,Degree,45,21,"Strategic planning, Negotiation","Analytical thinking, Effective communication",79997,Testico,Italiano,False,False,Italiano
186,Designer,PhD,54,8,"Adobe Illustrator, Adobe After Effect","Innovation, Critical thinking",36005,Parenti,Italiano,True,False,"Italiano, Inglese, Argentino"
187,Financial consultant,Degree,69,8,"Economics, Financial markets, Personal financial planning, Investments, Actions","Empathy, Precision, Customer orientation, Attention to detail, Persuasive communication",40014,Mordano,Inglese,False,False,"Inglese, Venezuelano, Italiano"
188,Web Developer,Degree,55,7,"XAMPP, PHP, Python","Flexibility, Ability to manage stress, Teamwork",44999,San Marcellino,Italiano,True,False,Italiano
189,Computer security analyst,Bachelor D.,43,4,"Incident Management, GnuPG, SELinux, Security of the networks","Troubleshooting, Adaptability, Collaboration, Critical thinking",80000,Pontestura,Cinese,True,True,"Cinese, Israeliano"
190,Teacher,Master D.,32,18,"Geograpy, Italian, Art, History, English","Communication, Empathy",19024,Potenza,Italiano,False,False,"Italiano, Inglese, Brasiliano"
191,Data Scientist,Degree,22,5,"R, TensorFlow, Keras, PyTorch, Scikit-learn","Innovation, effective communication",32999,Galliavola,Italiano,True,True,Italiano
192,Nurse specialist,Master D.,60,12,"Monitoring of patients, Administration of drugs, Intensive Care Unit, Oncology, Specialized nursing assistance","Management of emergencies, Organisation, Empathy",42518,Capranica Prenestina,Irlandese,False,False,Irlandese
193,Surgeon,Bachelor D.,68,28,"Surgical physiology, Specialized surgical procedures","Ethics, Precision",80005,Trasquera,Brasiliano,False,False,"Brasiliano, Francese"
194,Risk expert,Master D.,61,6,"Environmental risk, Assessment of risk","Management of stress, Analytical thinking, Decision making",35504,Castiglione del Lago,Inglese,False,False,"Inglese, Italiano"
195,Market analyst,Degree,46,11,"Analysis of trends, Analysis of competitors, Analysis of data","Problem solving, Effective presentation, Critical thinking, Customer orientation",39012,Gambugliano,Lituano,True,True,"Lituano, Italiano"
196,Financial analyst,Degree,62,14,"Risk Management, Financial analysis, Financial markets, Economic Law, Assessment of investments","Effective communication, Critical analysis, Attention to detail",33499,Torre Pallavicina,Colombiano,True,False,"Colombiano, Egiziano, Italiano"
197,Financial consultant,Degree,67,13,"Commercial Law, Actions, Insurance, Economics, Personal financial planning","Empathy, Customer orientation, Attention to detail, Precision, Persuasive communication",40002,Tufo,Brasiliano,False,True,"Brasiliano, Italiano, Portoghese"
198,Web Developer,Degree,38,3,"XAMPP, Internet protocols, Angular, MySQL, SQL","Problem solving, Innovation, Teamwork, Ability to manage stress",45004,Capraia e Limite,Tedesco,True,True,"Tedesco, Venezuelano"
199,Designer,Bachelor D.,40,9,"UI/UX Design, Blender","Empathy, Critical thinking, Creativity, Innovation, Adaptability",36007,Rivodutri,Venezuelano,True,False,Venezuelano
