Id,Job,Education,Age,Experience,Skills,Softkills,Ideal_Salary,City,Nationality,SmartWork,Experience_abroad,Language
150,Pharmacist,Bachelor D.,27,4,"Control of prescriptions, Preparation of drugs, Management of the cash, Information on drugs, Pharmacology","Organizational skills, Precision, Knowledge of regulations, Empathy, Attention to the customer",23510,Mercato Saraceno,Italiano,False,False,Italiano
151,Surgeon,Degree,41,28,"Surgical physiology, Surgical Anatomy, General Surgery, Operating block management","Teamwork, Ethics",79987,Costigliole d'Asti,Israeliano,False,True,Israeliano
152,Teacher,Bachelor D.,28,16,"Gym, Physics, French, Geograpy, Art","Empathy, Patience",18999,Piana Crixia,Italiano,False,False,Italiano
153,Surgeon,Researcher,40,6,"Surgical physiology, Medical imaging, Operating block management","Teamwork, Management of stress, Patience, Ethics, Decision making",79999,Augusta,Turco,False,False,"Turco, Cinese, Irlandese"
154,Financial analyst,Bachelor D.,68,14,"Economic Law, Risk Management, Financial analysis","Problem solving, Critical analysis, Attention to detail, Management of stress",33491,Viterbo,Italiano,True,False,"Italiano, Tedesco, Inglese"
155,System administrator,Bachelor D.,44,13,"Cyber Security, Windows Server, SMTP, Linux, Cloud management","Management of emergencies, Patience, Troubleshooting",37494,Malo,Lituano,False,True,Lituano
156,Computer security analyst,Researcher,43,7,"Keepass, SELinux, Analysis of vulnerabilities","Innovation, Adaptability, Collaboration",79977,Mercato Saraceno,Italiano,True,True,Italiano
157,System administrator,Bachelor D.,50,7,"SMTP, Unix","Management of emergencies, Patience",37505,Sommariva Perno,Francese,False,True,Francese
158,Operation manager,Degree,24,12,"Microsoft Excel, Logistics, ERP","Strategic planning, Troubleshooting, Management of time",109984,Lisciano Niccone,Italiano,True,True,"Italiano, Lituano, Francese"
159,Asset manager,Bachelor D.,62,25,"Investments, Financial planning, Investments, Management of the portfolio","Customer orientation, Attention to detail, Strategic Thinking",44997,Sassuolo,Italiano,False,False,"Italiano, Colombiano"
160,Teacher,PhD,62,19,"Mathematics, Art, Computer science, Gym","Empathy, Communication, Patience",18985,Vedeseta,Cinese,False,True,"Cinese, Irlandese, Italiano"
161,Manager,Researcher,31,15,"Team Management, Market expertise, Strategic planning","Empathy, Analytical thinking",80010,Teora,Italiano,False,False,"Italiano, Francese"
162,Operation manager,Bachelor D.,54,19,"Lean management , Six Sigma, Microsoft Excel","Management of time, Strategic planning",109981,Fiumicino,Italiano,True,False,"Italiano, Tedesco"
163,Market analyst,PhD,57,10,"Analysis of trends, Market research","Adaptability, Customer orientation, Teamwork",39010,Civitanova Marche,Turco,True,False,"Turco, Danese"
164,Financial consultant,Degree,60,2,"Economics, Commercial Law, Personal financial planning, Actions, Insurance","Empathy, Persuasive communication, Customer orientation, Attention to detail, Precision",39998,Cittaducale,Irlandese,False,False,"Irlandese, Italiano, Turco"
165,Manager,Degree,64,9,"Market expertise, Negotiation, Strategic planning","Analytical thinking, Adaptability, Effective communication",79989,Civitanova del Sannio,Italiano,False,True,Italiano
166,Computer security analyst,Bachelor D.,35,15,"GnuPG, Cryptography","Adaptability, Critical thinking",79990,Giffoni Sei Casali,Italiano,True,True,"Italiano, Argentino"
167,System administrator,Degree,31,7,"Cyber Security, Cloud management, Windows Server, Linux, HTTP","Patience, Troubleshooting, Management of emergencies",37477,Piubega,Norvegese,False,True,"Norvegese, Irlandese, Venezuelano"
168,Lawyer,PhD,58,12,"Procedural right, Legal Research","Persuasive communication, Communication skills",34994,Pareto,Francese,False,False,"Francese, Cubano"
169,Doctor,PhD,23,14,"Anatomy, Interpretation of the results, Diagnosis, Therapy, Pharmacology","Attention to the patient, Patience, Empathic communication",52494,Carpegna,Argentino,False,False,"Argentino, Italiano"
170,Architect,PhD,20,3,"Rhinoceros 3D, EnergyPlus, BIM","Effective communication, Attention to detail, Collaboration, Creativity",42493,Buccino,Canadese,True,False,"Canadese, Inglese"
171,HR Consultant,Bachelor D.,21,13,"Industrial relations, HR Management, Organisational development, Selection and evaluation techniques, Recruitment","Ability to listen, Management of stress, Coaching, Management of the conflict, Negotiation",35014,Bonarcado,Inglese,True,False,Inglese
172,System administrator,Degree,55,2,"Cyber Security, Windows Server, Unix, SMTP, Linux","Management of emergencies, Patience, Troubleshooting",37516,Villafranca Padovana,Tunisino,False,False,"Tunisino, Inglese"
173,Lawyer,Bachelor D.,39,29,"Criminal Law, Legal system, Civil Law, Procedural right, Negotiation","Persuasive communication, Argumentation, Communication skills, Analytical skills",34999,Signa,Inglese,False,False,"Inglese, Tunisino, Francese"
174,Doctor,Degree,59,13,"Pathology, Interpretation of the results, Therapy, Management of patients","Empathic communication, Patience",52507,Albera Ligure,Tedesco,False,True,Tedesco
175,Financial consultant,Researcher,39,16,"Insurance, Personal financial planning","Attention to detail, Precision, Empathy, Persuasive communication, Customer orientation",40008,Stigliano,Portoghese,False,False,Portoghese
176,Asset manager,Degree,65,9,"Economics, Financial analysis, Investments","Negotiation, Attention to detail, Customer orientation, Strategic Thinking",44996,Sarsina,Norvegese,False,False,"Norvegese, Argentino, Finlandese"
177,Lawyer,Bachelor D.,25,30,"Legal Research, Legal system, Procedural right, Criminal Law, Civil Law","Analytical skills, Communication skills, Critical thinking",34995,Azzano San Paolo,Cinese,False,True,Cinese
178,Computer security analyst,Master D.,61,8,"Incident Management, Cyber Security, SELinux, Analysis of vulnerabilities","Innovation, Adaptability, Collaboration, Critical thinking, Troubleshooting",79995,San Piero Patti,Italiano,True,False,"Italiano, Inglese, Brasiliano"
179,Operation manager,Bachelor D.,49,25,"Optimization of processes, Logistics","Troubleshooting, Management of time",109993,Sesto Calende,Tunisino,True,True,"Tunisino, Portoghese"
180,Lawyer,Bachelor D.,26,4,"Legal Research, Legal system","Critical thinking, Communication skills, Analytical skills",34984,Bianchi,Brasiliano,False,True,Brasiliano
181,HR Consultant,Bachelor D.,27,3,"Industrial relations, Selection and evaluation techniques, Recruitment, Training and development, Organisational development","Coaching, Empathy",35009,Lograto,Egiziano,True,False,Egiziano
182,Financial consultant,Bachelor D.,52,20,"Personal financial planning, Economics","Customer orientation, Empathy, Precision, Attention to detail, Persuasive communication",39997,Sant'Ilario d'Enza,Colombiano,False,False,"Colombiano, Inglese, Brasiliano"
183,Manager,Degree,26,22,"Negotiation, Strategic planning, Team Management, Market expertise","Analytical thinking, Empathy, Innovation, Leadership, Adaptability",80001,Pachino,Turco,False,False,"Turco, Italiano"
184,Computer security analyst,Bachelor D.,48,7,"Cryptography, Cyber Security, Security of the networks","Adaptability, Collaboration, Troubleshooting",79999,Nureci,Pakistano,True,True,Pakistano
185,Asset manager,Degree,64,13,"Investments, Management of the portfolio, Financial analysis, Investments","Negotiation, Attention to detail, Strategic Thinking, Customer orientation",44995,Civitanova Marche,Norvegese,False,True,Norvegese
186,Teacher,Degree,28,30,"English, Physics, Physical education, Art, Office suite","Patience, Communication, Empathy",19004,Albaredo per San Marco,Italiano,False,True,"Italiano, Lituano"
187,Pharmacist,Bachelor D.,44,3,"Preparation of drugs, Management of the cash, Pharmacology, Information on drugs","Precision, Organizational skills, Attention to the customer",23495,Pachino,Italiano,False,False,"Italiano, Statunitense"
188,Data Scientist,Bachelor D.,41,6,"SQL, Statistical, TensorFlow","Teamwork, Analytical thinking, effective communication",33002,Camugnano,Portoghese,True,False,"Portoghese, Italiano"
189,Nurse,Degree,62,5,"Health care, Administration of drugs","Management of stress, Flexibility, Communication, Empathy",30000,Trescore Balneario,Inglese,False,False,Inglese
190,Risk expert,Bachelor D.,26,15,"Environmental risk, Financial risk, Assessment of risk, Management of losses","Analytical thinking, Management of stress, Decision making",35480,Sarsina,Inglese,False,False,"Inglese, Tedesco, Italiano"
191,Market analyst,Degree,49,14,"Strategies of the market, Analysis of data, Market research","Customer orientation, Effective presentation, Problem solving",38999,Pieve Albignola,Statunitense,True,False,Statunitense
192,Surgeon,Master D.,32,5,"Surgical physiology, Medical imaging, Specialized surgical procedures","Ethics, Precision, Patience, Decision making",79993,Valstagna,Pakistano,False,False,Pakistano
193,Web Developer,PhD,40,6,"PHP, HTML","Innovation, Ability to manage stress, Problem solving, Effective communication",45008,Ventotene,Italiano,True,False,"Italiano, Statunitense"
194,Doctor,PhD,51,14,"Diagnosis, Therapy","Patience, Ethics, Teamwork, Empathic communication, Attention to the patient",52490,Martignana di Po,Italiano,False,True,"Italiano, Finlandese"
195,System administrator,PhD,43,4,"HTTP, Unix, Cyber Security, SMTP, Windows Server","Management of emergencies, Patience, Troubleshooting",37496,Capranica Prenestina,Italiano,False,True,"Italiano, Tedesco, Tunisino"
196,Nurse,Researcher,22,13,"Administration of drugs, Medical emergencies, Health care","Communication, Empathy, Organisation, Flexibility, Professional ethics",30001,Sanarica,Lituano,False,False,"Lituano, Italiano, Venezuelano"
197,Architect,Bachelor D.,30,2,"BIM, Vectorworks, EnergyPlus","Collaboration, Spatial thought, Effective communication, Attention to detail, Creativity",42498,San Massimo,Italiano,True,True,"Italiano, Inglese"
198,Operation manager,PhD,42,20,"Microsoft Excel, Management of operations, Logistics, Optimization of processes, Lean management ","Troubleshooting, Management of stress, Strategic planning",109985,Castellazzo Bormida,Canadese,True,True,"Canadese, Finlandese"
199,Therapist,Degree,68,9,"Psychological evaluation, Psychopharmacology, Ethics, Theories of Behavior, Cognitive behavioral therapy","Problem solving, Active listening, Empathy, Ethics",23514,Cervia,Francese,False,False,Francese
