Id,Job,Education,SmartWork,Experience_abroad,Nationality,City,Skills,Softkills,Age,Experience,Ideal_Salary,Language
147,Teacher,Degree,False,True,Cinese,Sant'Agata del Bianco,"English, Mathematics, Gym, Chemistry, History","Communication, Empathy, Patience",41,12,23000,"Cinese, Venezuelano"
148,Architect,Bachelor D.,False,True,Canadese,Garlate,"EnergyPlus, Architectural design","Effective communication, Attention to detail",43,13,54481,"Canadese, Italiano"
149,Financial analyst,Degree,False,False,Russo,Colleferro,"Investment, Economic Law, Financial markets, Financial analysis","Attention to detail, Critical analysis",42,9,44131,"Russo, Italiano, Egiziano"
150,X-ray technician,Bachelor D.,False,True,Francese,Dusino San Michele,"X-ray and scan reading, Use of imaging equipment, Radiological safety","Organizational skills, Confidentiality, Empathy",53,15,30000,"Francese, Italiano"
151,Architectural engineer,Degree,True,False,Francese,Casalattico,"ANSYS, AutoCAD, MATLAB, Simulink","Management of time, Communication",44,1,58772,"Francese, Messicano, Italiano"
152,Teacher,Bachelor D.,False,False,Israeliano,Sovizzo,"Italian, Physics, Office suite","Communication, Empathy, Patience",55,8,23000,Israeliano
153,Market analyst,Bachelor D.,False,False,Russo,Azzano Mella,"Strategies of the market, Models of business, Analysis of trends","Effective presentation, Teamwork, Customer orientation, Adaptability",42,4,51754,"Russo, Irlandese"
154,Lawyer,Degree,False,False,Italiano,Oldenico,"Negotiation, Civil Law, Legal system, Procedural right","Persuasive communication, Critical thinking, Communication skills, Analytical skills",49,12,46619,"Italiano, Egiziano"
155,Marketing manager,Researcher,True,False,Italiano,Moscazzano,"Market research, Hootsuite","Creativity, Adaptability, Ability to adapt to new technologies, Critical thinking",40,10,45530,Italiano
156,Computer security analyst,Bachelor D.,False,True,Inglese,Fiesse,"Cyber Security, SELinux","Adaptability, Collaboration, Critical thinking",29,3,60158,Inglese
157,Teacher,PhD,False,False,Italiano,Castel Rocchero,"French, Office suite","Communication, Empathy, Patience",54,10,23000,"Italiano, Pakistano"
158,Risk expert,Degree,False,True,Italiano,Molteno,"Data analysis, Environmental risk, Management of the crisis","Decision making, Management of stress, Analytical thinking",42,9,36844,"Italiano, Danese, Canadese"
159,Operation manager,PhD,True,False,Irlandese,San Pietro Clarenza,"Management of operations, Quality Control, Logistics, Six Sigma","Management of time, Troubleshooting, Strategic planning",39,8,145345,Irlandese
160,Market analyst,Researcher,False,True,Italiano,Decimoputzu,"Models of business, Analysis of data, Analysis of competitors","Teamwork, Effective presentation, Adaptability, Problem solving",36,3,34646,Italiano
161,Web Developer,Bachelor D.,False,False,Tedesco,Lapedona,"PHP, HTML, MySQL, SQL, CSS","Innovation, Problem solving, Flexibility",40,13,63415,"Tedesco, Italiano, Italiano"
162,Manager,Bachelor D.,False,False,Francese,Bisceglie,"Negotiation, Team Management, Market expertise, Strategic planning","Empathy, Leadership, Analytical thinking, Adaptability, Effective communication",30,0,40778,Francese
163,Data Scientist,Bachelor D.,False,True,Italiano,Apecchio,"Machine Learning, Scikit-learn","Analytical thinking, Solving the problems, effective communication, Teamwork, Innovation",32,2,37753,"Italiano, Pakistano, Egiziano"
164,Pharmacist,Degree,False,False,Italiano,Gravina di Catania,"Control of prescriptions, Dispensing of drugs","Attention to the customer, Precision, Organizational skills, Empathy",26,0,24539,"Italiano, Inglese, Egiziano"
165,Financial consultant,Bachelor D.,False,False,Italiano,Tarzo,"Economics, Personal financial planning, Investments, Insurance","Attention to detail, Persuasive communication, Precision, Empathy",48,9,54598,"Italiano, Canadese"
166,Therapist,Bachelor D.,False,True,Finlandese,Lacco Ameno,"Counseling, Confidentiality","Problem solving, Ethics, Active listening, Confidentiality",33,1,26997,"Finlandese, Norvegese"
167,Therapist,Degree,False,False,Danese,Mason Vicentino,"Counseling, Confidentiality, Psychological evaluation, Cognitive behavioral therapy","Relational Skills, Problem solving, Empathy",42,2,25570,"Danese, Tunisino"
168,Doctor,PhD,False,True,Italiano,Mezzanino,"Pathology, Pharmacology, Management of patients, Therapy","Empathic communication, Attention to the patient, Ethics, Teamwork",43,4,79047,"Italiano, Tedesco, Norvegese"
169,Risk expert,Researcher,False,True,Cinese,Ceneselli,"Assessment of risk, Environmental risk, Management of the crisis","Decision making, Analytical thinking, Management of stress",43,13,49394,"Cinese, Tunisino, Italiano"
170,Data analyst,Degree,True,False,Inglese,Augusta,"MATLAB, Microsoft Excel","Creativity, Critical analysis, Clear communication, Problem solving, Proactivity",39,2,37318,"Inglese, Italiano, Venezuelano"
171,Data Scientist,PhD,False,True,Italiano,Calasetta,"Statistical, TensorFlow","Attention to detail, Analytical thinking, Teamwork, Solving the problems",41,1,34605,"Italiano, Messicano, Inglese"
172,Therapist,Degree,False,True,Italiano,Sassuolo,"Psychological evaluation, Theories of Behavior, Cognitive behavioral therapy","Problem solving, Active listening",43,2,19669,"Italiano, Argentino"
173,Data Scientist,Degree,False,True,Italiano,Ricengo,"Scikit-learn, PyTorch, Statistical","Teamwork, Solving the problems, effective communication",27,2,42587,"Italiano, Francese"
174,HR Consultant,Bachelor D.,True,True,Tedesco,Motta Camastra,"HR Management, Industrial relations","Management of the conflict, Management of stress, Ability to listen",41,4,47656,Tedesco
175,HR Consultant,Master D.,True,False,Italiano,Brugnato,"Selection and evaluation techniques, Recruitment, Analysis of data, HR Management","Management of stress, Negotiation, Ability to listen, Management of the conflict",46,20,48330,"Italiano, Pakistano"
176,Surgeon,Master D.,False,False,Irlandese,Zagarise,"General Surgery, Medical imaging, Operating block management, Specialized surgical procedures, Surgical physiology","Precision, Management of stress, Teamwork",45,10,71957,"Irlandese, Portoghese, Inglese"
177,Designer,Master D.,False,False,Italiano,Castelluccio Superiore,"Figma, Adobe After Effect, Blender, Prototyping, CorelDRAW","Adaptability, Critical thinking, Empathy, Creativity",35,10,38746,"Italiano, Lituano"
178,Asset manager,PhD,False,False,Italiano,Cerea,"Management of the portfolio, Financial analysis","Negotiation, Strategic Thinking, Customer orientation, Attention to detail",54,22,60000,"Italiano, Tedesco, Finlandese"
179,Computer security analyst,Master D.,True,False,Italiano,San Giovanni Valdarno,"Keepass, Cyber Security, Security of the networks, GnuPG, Incident Management","Troubleshooting, Adaptability, Critical thinking, Innovation, Collaboration",31,5,71824,"Italiano, Lituano, Irlandese"
180,Market analyst,PhD,True,False,Italiano,Villafranca Padovana,"Analysis of competitors, Analysis of data, Market research, Strategies of the market","Customer orientation, Adaptability, Critical thinking, Teamwork",38,9,42181,Italiano
181,Teacher,Bachelor D.,False,True,Italiano,Fontana Liri,"Art, Physics, Italian, Sciences","Patience, Communication",46,20,23000,Italiano
182,Architect,Researcher,True,True,Italiano,Fie' allo Sciliar,"Rhinoceros 3D, Revit, Vectorworks, Coordination of the project","Spatial thought, Creativity, Attention to detail, Effective communication, Collaboration",37,6,43059,Italiano
183,Marketing manager,Master D.,False,True,Venezuelano,Vialfre',"Planning of campaigns, Hootsuite, Google Analytics","Leadership, Creativity, Management of the team",48,11,107715,"Venezuelano, Italiano"
184,Data Scientist,Degree,True,True,Italiano,Tavarnelle Val di Pesa,"R, Python","effective communication, Innovation",40,8,36306,Italiano
185,Therapist,Bachelor D.,False,True,Italiano,Nicorvo,"Psychological evaluation, Counseling, Theories of Behavior","Relational Skills, Empathy, Ethics",47,17,30000,Italiano
186,Teacher,Degree,False,True,Danese,Cervia,"Gym, History, Mathematics, Geograpy, French","Communication, Patience, Empathy",32,0,19123,"Danese, Italiano, Italiano"
187,Designer,PhD,True,False,Italiano,Lacchiarella,"Sketch, Figma, UI/UX Design, CorelDRAW","Adaptability, Empathy, Creativity",28,0,41401,Italiano
188,Operation manager,Degree,False,True,Italiano,Ferla,"Microsoft Excel, Management of operations, Lean management , Six Sigma, Quality Control","Strategic planning, Management of stress, Management of time",42,9,137046,"Italiano, Russo, Russo"
189,Designer,Bachelor D.,True,False,Inglese,Tarantasca,"CorelDRAW, Adobe After Effect, Blender","Adaptability, Empathy, Innovation, Critical thinking, Creativity",28,4,44509,"Inglese, Colombiano"
190,Risk expert,Degree,False,True,Inglese,Oldenico,"Financial risk, Assessment of risk","Analytical thinking, Management of stress, Decision making",31,0,38253,"Inglese, Pakistano, Italiano"
191,Asset manager,Bachelor D.,False,False,Turco,Feroleto della Chiesa,"Economics, Financial planning, Investments, Financial analysis, Investments","Strategic Thinking, Attention to detail",48,10,54921,"Turco, Inglese"
192,X-ray technician,Bachelor D.,False,False,Russo,Pago Veiano,"Radiological safety, Use of imaging equipment","Confidentiality, Empathy, Precision",30,4,28376,"Russo, Colombiano, Italiano"
193,Marketing manager,Bachelor D.,True,True,Italiano,Paisco Loveno,"Strategies of marketing, Hootsuite","Adaptability, Creativity, Leadership, Management of the team, Ability to adapt to new technologies",32,3,52318,"Italiano, Tedesco"
194,Manager,Researcher,False,True,Inglese,Castelcucco,"Strategic planning, Team Management","Empathy, Leadership, Analytical thinking, Innovation, Adaptability",41,11,79372,Inglese
195,Doctor,PhD,False,False,Inglese,Lascari,"Pharmacology, Diagnosis, Prevention, Pathology, Interpretation of the results","Teamwork, Patience, Ethics",40,10,68806,"Inglese, Tedesco"
196,Data Scientist,Degree,False,True,Argentino,Nova Levante,"Keras, SQL, TensorFlow","Attention to detail, Analytical thinking",36,7,36355,Argentino
197,Web Developer,Master D.,True,False,Italiano,Galliavola,"XAMPP, CSS, SQL, Angular","Effective communication, Innovation, Problem solving",43,10,45710,"Italiano, Francese, Tedesco"
198,Web Developer,Degree,False,False,Italiano,Novedrate,"Python, Design patterns, Angular, XAMPP, MySQL","Innovation, Ability to manage stress, Teamwork",38,0,61210,"Italiano, Tunisino"
199,Surgeon,Researcher,False,False,Colombiano,Agnone,"Medical imaging, Surgical physiology","Patience, Management of stress",48,13,118235,Colombiano
200,X-ray technician,Master D.,False,False,Italiano,Calcio,"Preparation of patients, Use of imaging equipment, Radiological safety, X-ray and scan reading","Speed of learning, Confidentiality",45,15,30000,"Italiano, Turco, Inglese"
201,Lawyer,Bachelor D.,False,True,Messicano,Borgomezzavalle,"Criminal Law, Negotiation, Civil Law","Critical thinking, Argumentation, Analytical skills",28,0,42351,"Messicano, Italiano"
202,X-ray technician,Master D.,False,False,Brasiliano,Vadena,"Radiological safety, X-ray and scan reading, Use of imaging equipment","Precision, Empathy, Confidentiality, Attention to detail",36,5,23352,"Brasiliano, Cubano, Italiano"
203,Manager,Master D.,False,False,Tedesco,Cereseto,"Market expertise, Negotiation, Team Management, Strategic planning","Effective communication, Analytical thinking, Adaptability",36,3,53936,"Tedesco, Italiano"
204,System administrator,Bachelor D.,False,True,Norvegese,Pederobba,"Cloud management, HTTP, Network, Cyber Security","Management of emergencies, Troubleshooting, Patience",26,1,41210,Norvegese
205,Financial analyst,PhD,False,True,Brasiliano,Moso in Passiria,"Financial markets, Economics, Investment, Assessment of investments","Attention to detail, Problem solving, Critical analysis, Management of stress",44,9,40001,Brasiliano
206,Lawyer,Degree,False,False,Italiano,Zugliano,"Criminal Law, Procedural right, Legal system","Critical thinking, Argumentation, Persuasive communication, Communication skills, Analytical skills",39,11,49603,"Italiano, Pakistano, Brasiliano"
207,Doctor,Master D.,False,False,Tedesco,Ittiri,"Pathology, Anatomy","Teamwork, Ethics, Attention to the patient, Empathic communication, Patience",56,24,72450,"Tedesco, Pakistano, Brasiliano"
208,Computer security analyst,Degree,True,False,Italiano,Rocca d'Evandro,"SELinux, GnuPG, Keepass, Security of the networks, Cryptography","Innovation, Adaptability, Collaboration",44,17,112449,Italiano
209,Therapist,Bachelor D.,False,False,Francese,Lisciano Niccone,"Ethics, Cognitive behavioral therapy, Confidentiality","Confidentiality, Relational Skills, Empathy, Ethics, Problem solving",59,14,30000,"Francese, Finlandese, Italiano"
210,Lawyer,Master D.,False,False,Egiziano,Vedeseta,"Legal system, Legal Research, Civil Law, Negotiation","Communication skills, Analytical skills, Critical thinking, Persuasive communication",48,11,39260,"Egiziano, Italiano"
211,Data Scientist,Bachelor D.,False,False,Italiano,Valle di Casies,"R, Keras","Teamwork, Solving the problems, effective communication, Innovation, Analytical thinking",37,7,37386,Italiano
212,Nurse,Master D.,False,False,Argentino,Tarantasca,"Health care, Administration of drugs","Communication, Organisation, Empathy, Professional ethics, Management of stress",38,8,36468,"Argentino, Italiano, Cinese"
213,Computer security analyst,Degree,True,False,Danese,Pont-Canavese,"GnuPG, Analysis of vulnerabilities","Collaboration, Critical thinking",31,3,60870,"Danese, Tedesco, Italiano"
214,Therapist,Researcher,False,True,Portoghese,Zignago,"Confidentiality, Cognitive behavioral therapy, Ethics, Counseling","Empathy, Active listening, Ethics, Problem solving, Relational Skills",37,6,28433,"Portoghese, Turco"
215,Data analyst,PhD,True,True,Brasiliano,Cervia,"Microsoft Excel, Statistics, Python","Creativity, Critical analysis",44,16,42449,Brasiliano
216,Computer security analyst,PhD,False,False,Italiano,Monserrato,"Cyber Security, Incident Management, Analysis of vulnerabilities, SELinux, Cryptography","Innovation, Critical thinking, Troubleshooting",44,16,119522,"Italiano, Canadese, Venezuelano"
217,Financial analyst,Bachelor D.,True,True,Francese,Vaglio Basilicata,"Economics, Financial analysis, Investment, Risk Management, Economic Law","Problem solving, Management of stress",42,12,42630,"Francese, Tunisino, Finlandese"
218,Computer security analyst,Degree,True,False,Irlandese,Lisciano Niccone,"Cryptography, Keepass","Critical thinking, Innovation, Troubleshooting, Adaptability, Collaboration",26,0,71919,Irlandese
219,Market analyst,Master D.,True,True,Italiano,Arcidosso,"Strategies of the market, Analysis of trends, Analysis of data, Market research","Teamwork, Customer orientation",45,5,46238,"Italiano, Israeliano, Inglese"
220,Web Developer,Degree,True,False,Inglese,Roncola,"PHP, CSS, MySQL, Angular","Flexibility, Ability to manage stress, Innovation, Teamwork",26,0,43931,Inglese
221,Asset manager,Bachelor D.,False,False,Italiano,Azzano Mella,"Investments, Financial analysis, Financial planning, Management of the portfolio","Attention to detail, Strategic Thinking, Customer orientation, Negotiation",40,6,45249,Italiano
222,System administrator,Master D.,False,True,Inglese,Diano Marina,"Cloud management, HTTP, SMTP, Windows Server","Patience, Troubleshooting",42,5,46641,"Inglese, Italiano, Israeliano"
223,Data analyst,Researcher,False,True,Inglese,Atina,"Database, Tableau, Data Mining","Critical analysis, Problem solving",35,0,29990,"Inglese, Tedesco, Russo"
224,Financial consultant,Bachelor D.,False,True,Italiano,Bajardo,"Insurance, Investments","Attention to detail, Persuasive communication, Precision",26,1,45840,Italiano
225,Architectural engineer,Degree,False,False,Cubano,Monteleone d'Orvieto,"Solidworks, ANSYS, Design, AutoCAD, MATLAB","Leadership, Troubleshooting, Communication, Creativity",34,5,46680,"Cubano, Tedesco"
226,Manager,Master D.,False,False,Italiano,Tribano,"Team Management, Market expertise, Strategic planning, Negotiation","Analytical thinking, Adaptability, Innovation, Leadership",37,1,49747,"Italiano, Messicano"
227,Financial analyst,Bachelor D.,False,True,Egiziano,Miggiano,"Economic Law, Financial markets","Critical analysis, Problem solving, Management of stress, Effective communication",34,2,38103,"Egiziano, Tunisino"
228,Legal consultant,Researcher,False,True,Tedesco,Bianchi,"Tax legislation, Criminal Law, Procedural right, Right to Work, Intellectual property","Capacity for research, Management of stress, Integrity, Negotiation",38,8,36174,"Tedesco, Cinese, Turco"
229,Architect,PhD,True,False,Italiano,Sant'Agata del Bianco,"Vectorworks, Coordination of the project, Architectural design, EnergyPlus, AutoCAD","Effective communication, Creativity",45,2,49148,"Italiano, Cinese"
230,Pharmacist,Master D.,False,True,Pakistano,Pescara,"Preparation of drugs, Dispensing of drugs, Control of prescriptions, Management of the cash, Pharmacology","Empathy, Precision, Organizational skills",26,1,20568,"Pakistano, Danese, Italiano"
231,Legal consultant,Master D.,False,True,Pakistano,Valtopina,"Intellectual property, Right to Work, Negotiation, Tax legislation, Procedural right","Capacity for research, Negotiation, Customer orientation",31,3,35494,"Pakistano, Russo, Italiano"
232,Risk expert,Degree,False,True,Statunitense,Malo,"Management of the crisis, Data analysis, Financial risk, Assessment of risk","Decision making, Analytical thinking",33,4,48406,"Statunitense, Italiano, Tedesco"
233,Nurse,Researcher,False,False,Italiano,Teora,"Patient Management, Medical emergencies, Health care, Anatomy","Flexibility, Organisation",37,3,34173,Italiano
234,X-ray technician,Degree,False,False,Irlandese,Santo Stefano di Camastra,"X-ray and scan reading, Radiological safety, Use of imaging equipment, Preparation of patients","Speed of learning, Precision",25,0,18224,"Irlandese, Inglese"
235,Architectural engineer,Bachelor D.,True,False,Venezuelano,Villasalto,"Simulink, AutoCAD","Creativity, Collaboration, Leadership, Attention to detail",41,15,49589,"Venezuelano, Italiano, Italiano"
236,Web Developer,Master D.,False,False,Francese,Cornegliano Laudense,"SQL, Design patterns, CSS, Angular","Ability to manage stress, Innovation",32,2,46484,Francese
237,Risk expert,Bachelor D.,False,True,Italiano,Boissano,"Environmental risk, Management of the crisis, Analysis of financial security policies","Analytical thinking, Decision making, Management of stress",33,2,49231,Italiano
238,Marketing manager,Bachelor D.,True,False,Tunisino,Paulilatino,"Strategies of marketing, Hootsuite, CMS","Leadership, Ability to adapt to new technologies, Creativity",39,0,115260,Tunisino
239,Web Developer,Degree,False,False,Egiziano,Castelfondo,"Python, HTML","Flexibility, Ability to manage stress, Effective communication",26,0,61180,"Egiziano, Russo"
240,Operation manager,Researcher,True,True,Italiano,Brendola,"Logistics, Optimization of processes","Strategic planning, Troubleshooting",39,3,106895,"Italiano, Colombiano, Venezuelano"
241,System administrator,Bachelor D.,False,True,Francese,Belforte del Chienti,"Windows Server, Network, Cyber Security, Cloud management","Management of emergencies, Patience, Troubleshooting",25,0,44538,"Francese, Argentino"
242,Pharmacist,Bachelor D.,False,True,Inglese,Alessano,"Preparation of drugs, Control of prescriptions, Pharmacology","Organizational skills, Attention to the customer, Empathy, Precision, Communication",25,0,27287,Inglese
243,Marketing manager,Degree,False,True,Italiano,Chiavenna,"Hootsuite, Market research, Strategies of marketing","Adaptability, Leadership",38,10,67697,"Italiano, Colombiano"
244,Asset manager,Master D.,False,True,Israeliano,Gambugliano,"Economics, Financial planning","Negotiation, Customer orientation, Strategic Thinking, Attention to detail",35,5,50928,Israeliano
245,Data Scientist,Degree,False,False,Italiano,Pietracatella,"R, PyTorch, Keras","Solving the problems, Analytical thinking",39,6,32896,Italiano
246,Architect,Bachelor D.,True,False,Italiano,Santo Stefano Roero,"AutoCAD, Vectorworks, Rhinoceros 3D, Architectural design","Attention to detail, Effective communication, Collaboration",52,8,55602,Italiano
247,Designer,Master D.,False,True,Italiano,Osilo,"Adobe After Effect, Sketch, Figma, CorelDRAW, Adobe Photoshop","Empathy, Adaptability, Creativity, Innovation, Critical thinking",29,4,36961,Italiano
248,Lawyer,Degree,False,True,Inglese,Pastena,"Legal system, Legal Research, Criminal Law","Argumentation, Critical thinking",36,4,42877,"Inglese, Turco"
249,Financial analyst,PhD,True,False,Italiano,Lequile,"Economic Law, Assessment of investments, Financial analysis, Risk Management","Effective communication, Problem solving, Critical analysis, Attention to detail",35,8,43456,Italiano
250,Marketing manager,Bachelor D.,False,True,Messicano,Castelleone,"Strategies of marketing, Management of the brand, Google Analytics","Adaptability, Management of the team, Leadership, Ability to adapt to new technologies, Critical thinking",39,5,95677,Messicano
251,Data analyst,Degree,False,True,Tedesco,Fluminimaggiore,"MATLAB, SAS, Root, Statistics","Problem solving, Creativity, Proactivity",43,17,44193,Tedesco
252,Surgeon,Researcher,False,False,Brasiliano,Civitella del Tronto,"Surgical Anatomy, Operating block management","Precision, Ethics, Decision making",42,2,63649,"Brasiliano, Italiano"
253,Data analyst,Bachelor D.,False,True,Inglese,Marano Principato,"MATLAB, Data Mining, Tableau","Problem solving, Clear communication",40,3,36211,"Inglese, Brasiliano"
254,Financial analyst,PhD,True,True,Inglese,Schio,"Economics, Financial analysis, Economic Law, Investment, Financial markets","Critical analysis, Problem solving, Effective communication, Management of stress",36,4,35214,"Inglese, Italiano"
255,Teacher,Master D.,False,True,Italiano,Potenza,"Art, Geograpy, History, Physics, Mathematics","Empathy, Communication, Patience",52,15,23000,"Italiano, Irlandese"
256,X-ray technician,Bachelor D.,False,True,Cubano,Lequile,"Radiological safety, Use of imaging equipment, X-ray and scan reading, Preparation of patients","Organizational skills, Attention to detail, Communication, Speed of learning",35,9,29231,"Cubano, Statunitense, Tedesco"
257,Architect,PhD,True,False,Israeliano,Nosate,"Revit, Architectural design, Coordination of the project","Attention to detail, Effective communication",54,3,57331,"Israeliano, Inglese, Inglese"
258,Marketing manager,Researcher,True,True,Tedesco,Corinaldo,"Planning of campaigns, CMS, Management of the brand, Google Analytics","Leadership, Creativity",41,10,97643,Tedesco
259,X-ray technician,Degree,False,True,Italiano,Stigliano,"Use of imaging equipment, Preparation of patients, Radiological safety, X-ray and scan reading","Precision, Confidentiality, Attention to detail",32,4,23413,Italiano
260,Data analyst,Bachelor D.,False,False,Italiano,San Vito,"MATLAB, Root, Data Mining, Database, Python","Creativity, Problem solving",40,5,31879,"Italiano, Inglese"
261,Financial consultant,Degree,False,True,Italiano,Recetto,"Actions, Economics, Financial markets, Personal financial planning, Investments","Precision, Customer orientation, Empathy",49,20,55000,"Italiano, Tedesco"
262,X-ray technician,Degree,False,True,Italiano,Agnone,"Preparation of patients, Use of imaging equipment, X-ray and scan reading","Organizational skills, Confidentiality",52,5,24410,"Italiano, Pakistano"
263,Manager,Degree,False,False,Colombiano,Visco,"Market expertise, Team Management, Strategic planning, Negotiation","Empathy, Effective communication, Adaptability",46,8,118444,"Colombiano, Italiano, Danese"
264,Data analyst,Degree,False,False,Italiano,Viterbo,"R, Microsoft Excel, MATLAB, Database","Problem solving, Creativity, Critical analysis",39,2,27771,Italiano
265,Legal consultant,Bachelor D.,False,False,Inglese,Lograto,"Civil Law, Tax legislation, Contracts, Negotiation","Ethics, Management of stress, Negotiation, Integrity, Capacity for research",40,10,36562,"Inglese, Italiano"
266,Asset manager,Degree,False,True,Colombiano,Montesano Salentino,"Management of the portfolio, Investments, Investments, Financial planning","Negotiation, Strategic Thinking",40,0,55969,"Colombiano, Inglese, Norvegese"
267,Architect,Master D.,False,False,Italiano,Atina,"Vectorworks, Rhinoceros 3D, Revit, EnergyPlus, Asana","Spatial thought, Attention to detail, Effective communication, Creativity",46,16,57270,"Italiano, Pakistano"
268,HR Consultant,Bachelor D.,False,False,Israeliano,Nova Levante,"HR Management, Industrial relations, Organisational development, Analysis of data","Management of stress, Coaching",41,12,40953,Israeliano
269,Doctor,Master D.,False,False,Italiano,Castelfondo,"Prevention, Pathology","Ethics, Teamwork, Attention to the patient, Patience",50,7,63546,"Italiano, Inglese, Inglese"
270,Marketing manager,Master D.,True,True,Lituano,Argusto,"CMS, Management of the brand","Leadership, Critical thinking",32,1,59718,Lituano
271,Marketing manager,Degree,True,True,Tunisino,Senerchia,"Planning of campaigns, Market research, Strategies of marketing, CMS, Hootsuite","Leadership, Management of the team, Creativity, Ability to adapt to new technologies",28,0,79873,Tunisino
272,HR Consultant,Bachelor D.,False,True,Inglese,Castiglione del Lago,"HR Management, Training and development","Management of the conflict, Ability to listen, Management of stress",44,4,30570,"Inglese, Italiano"
273,Developer,Master D.,False,False,Italiano,Lograto,"SQL, Java, C","Creativity, Flexibility, Retail aptitude",39,11,58481,"Italiano, Turco"
274,Manager,PhD,False,False,Canadese,Villa di Tirano,"Team Management, Market expertise","Innovation, Empathy, Effective communication",30,0,56758,"Canadese, Cinese"
275,Therapist,Bachelor D.,False,False,Messicano,Ventotene,"Theories of Behavior, Ethics","Active listening, Empathy, Confidentiality, Ethics",54,19,30000,"Messicano, Inglese, Inglese"
276,Nurse specialist,Degree,False,False,Inglese,Marano sul Panaro,"Monitoring of patients, Specialized nursing assistance, Administration of drugs, Intensive Care Unit, Oncology","Organisation, Empathy",33,2,42222,Inglese
277,Computer security analyst,Researcher,True,True,Italiano,Valledolmo,"Security of the networks, Cryptography, SELinux","Critical thinking, Collaboration, Troubleshooting, Adaptability",32,2,90064,Italiano
278,Data analyst,Degree,False,True,Danese,Monacilioni,"SAS, Microsoft Excel","Problem solving, Creativity, Proactivity, Critical analysis",32,6,39734,"Danese, Pakistano, Pakistano"
279,Developer,Bachelor D.,False,False,Italiano,Cernusco sul Naviglio,"Java, PHP","Flexibility, Creativity",25,1,57853,"Italiano, Tunisino"
280,Financial analyst,PhD,True,False,Italiano,Brendola,"Risk Management, Financial markets, Assessment of investments, Investment, Financial analysis","Management of stress, Effective communication, Problem solving, Attention to detail, Critical analysis",44,2,44459,Italiano
281,Computer security analyst,Master D.,True,False,Francese,Capriolo,"Cryptography, Analysis of vulnerabilities","Collaboration, Critical thinking, Troubleshooting, Innovation",26,0,71189,"Francese, Pakistano, Tedesco"
282,Architect,Researcher,True,True,Egiziano,Fiumicino,"Rhinoceros 3D, Asana","Collaboration, Creativity, Attention to detail, Spatial thought",42,11,56791,"Egiziano, Finlandese"
283,Web Developer,Degree,False,False,Francese,Buccino,"Angular, Python, CSS, MySQL","Ability to manage stress, Teamwork, Flexibility, Problem solving",36,1,64375,"Francese, Italiano, Portoghese"
284,Data Scientist,Bachelor D.,True,True,Italiano,Desulo,"SQL, TensorFlow","Solving the problems, Analytical thinking, Teamwork, Innovation, Attention to detail",27,1,36820,"Italiano, Danese, Russo"
285,Therapist,Bachelor D.,False,True,Cubano,Torre San Patrizio,"Confidentiality, Ethics","Confidentiality, Relational Skills, Problem solving, Active listening",59,2,21282,"Cubano, Statunitense, Statunitense"
286,Nurse,Degree,False,False,Italiano,Villadose,"Patient Management, Pharmacology","Professional ethics, Empathy, Management of stress, Communication",24,1,27004,"Italiano, Lituano, Lituano"
287,X-ray technician,Degree,False,False,Irlandese,Azzano San Paolo,"Use of imaging equipment, X-ray and scan reading, Radiological safety","Organizational skills, Communication, Precision, Attention to detail, Ethics",38,6,28720,Irlandese
288,Data Scientist,Master D.,True,False,Italiano,Parenti,"Python, TensorFlow, Keras","Analytical thinking, effective communication, Teamwork, Innovation, Solving the problems",29,3,41499,"Italiano, Egiziano, Francese"
289,Data analyst,Bachelor D.,True,True,Italiano,Asolo,"Microsoft Excel, Python, SQL","Critical analysis, Clear communication, Problem solving, Creativity, Proactivity",25,0,38346,Italiano
290,Operation manager,Degree,True,False,Tedesco,Borgo Velino,"Six Sigma, Optimization of processes, Logistics, Microsoft Excel, Lean management ","Management of stress, Management of time, Troubleshooting, Strategic planning",55,21,150000,"Tedesco, Italiano"
291,Legal consultant,Degree,False,False,Irlandese,Aosta,"Right to Work, Criminal Law","Integrity, Management of stress, Capacity for research, Customer orientation, Ethics",28,0,22961,"Irlandese, Turco"
292,Legal consultant,Researcher,False,True,Italiano,Guidonia Montecelio,"Tax legislation, Intellectual property, Criminal Law, Right to Work, Civil Law","Negotiation, Ethics, Integrity, Management of stress, Customer orientation",31,1,41439,Italiano
293,Developer,PhD,False,False,Italiano,Rocca Grimalda,"C++, Python","Problem solving, Innovation, Collaboration",32,5,39856,Italiano
294,Financial consultant,Bachelor D.,False,True,Italiano,Pastena,"Insurance, Financial markets","Empathy, Attention to detail, Customer orientation, Precision, Persuasive communication",29,0,52814,Italiano
295,Doctor,Bachelor D.,False,False,Tedesco,Pennadomo,"Management of patients, Pathology, Anatomy, Diagnosis, Interpretation of the results","Teamwork, Attention to the patient, Empathic communication",47,13,54350,"Tedesco, Egiziano, Inglese"
296,Architectural engineer,Bachelor D.,True,True,Italiano,Cautano,"Design, ANSYS, Simulink","Decision-making capacity, Troubleshooting, Attention to detail",39,7,45836,"Italiano, Messicano, Colombiano"
297,Manager,Master D.,False,True,Lituano,Castellazzo Bormida,"Team Management, Negotiation, Market expertise, Strategic planning","Empathy, Effective communication, Analytical thinking, Adaptability",33,3,105153,Lituano
